Cuenta,Nombre,Estado
100000000000000000001,CAJA BANCOS,Nueva (destino en $0)
100001000000000000002,CAJA CHICA,Nueva (destino en $0)
100002000000000000002,DISPONIBLE,Nueva (destino en $0)
100003000000000000002,DISPONIBLE,Nueva (destino en $0)
100004000000000000002,DISPONIBLE,Nueva (destino en $0)
100006000000000000002,DISPONIBLE,Nueva (destino en $0)
100007000000000000002,DISPONIBLE,Nueva (destino en $0)
100009000000000000002,DISPONIBLE,Nueva (destino en $0)
100010000000000000002,DISPONIBLE,Nueva (destino en $0)
100010001000000000003,DISPONIBLE,Nueva (destino en $0)
100010002000000000003,DISPONIBLE,Nueva (destino en $0)
100011000000000000002,DISPONIBLE,Nueva (destino en $0)
102000000000000000001,DEPOSITOS EN GARANTIA,Nueva (destino en $0)
102001000000000000002,DEPOSITOS,Nueva (destino en $0)
102002000000000000002,KEPTOS S.A. DE C.V.,Nueva (destino en $0)
102010000000000000002,DEP. EN GARANTIA DIVISIONES,Nueva (destino en $0)
102010002000000000003,DEP. EN GARANTIA MONTERREY,Nueva (destino en $0)
103000000000000000001,CUENTAS POR COBRAR EMISIONES,Nueva (destino en $0)
103003000000000000002,EMISION ANUAL,Nueva (destino en $0)
103003001000000000003,CUOTAS ENER-DIC.,Nueva (destino en $0)
103003002000000000003,CUOTAS JUL-JUN,Nueva (destino en $0)
103003010000000000003,DEP.MEMBRESIAS NO IDENTIF.,Nueva (destino en $0)
103010000000000000002,CTAS. POR COBRAR DIVISIONES,Nueva (destino en $0)
103010001000000000003,EMISION ANUAL GUADALAJARA,Nueva (destino en $0)
103010002000000000003,EMISION ANUAL MONTERREY,Nueva (destino en $0)
103011000000000000002,EMISION ANUAL X DEVENGAR,Nueva (destino en $0)
103011003000000000003,EMISION ANUAL X DEVENG. GDL.,Nueva (destino en $0)
110009000000000000002,DISPONIBLE,Nueva (destino en $0)
103011004000000000003,EMISION ANUAL X DEVENGAR MTY,Nueva (destino en $0)
104000000000000000001,CUENTAS POR COBRAR,Nueva (destino en $0)
104004000000000000002,FUNCIONARIOS Y EMPLEADOS,Nueva (destino en $0)
10400400A000000000003,"FUN. Y EMP. ""A""",Nueva (destino en $0)
10400400A020000000004,DISPONIBLE,Nueva (destino en $0)
10400400A050000000004,DISPONIBLE,Nueva (destino en $0)
10400400B000000000003,"FUNC. Y EMPL. ""B""",Nueva (destino en $0)
10400400B030000000004,DISPONIBLE,Nueva (destino en $0)
10400400C000000000003,"FUNC. Y EMPL. ""C""",Nueva (destino en $0)
10400400C050000000004,DISPONIBLE,Nueva (destino en $0)
10400400C070000000004,DISPONIBLE,Nueva (destino en $0)
10400400D000000000003,"FUNC. Y EMPL. ""D""",Nueva (destino en $0)
10400400D020000000004,DISPONIBLE,Nueva (destino en $0)
10400400D040000000004,DISPONIBLE,Nueva (destino en $0)
10400400F000000000003,"FUNC. Y EMPL. ""F""",Nueva (destino en $0)
10400400F020000000004,DISPONIBLE,Nueva (destino en $0)
10400400G000000000003,"FUNC. Y EMPL. ""G""",Nueva (destino en $0)
10400400G080000000004,GARCIA SOLORZANO OFELIA,Nueva (destino en $0)
10400400G090000000004,GUZMAN PEREZ LUIS GERARDO,Nueva (destino en $0)
10400400G100000000004,GONZALEZ SOLANO CLAUDIA ALEJANDRA,Nueva (destino en $0)
10400400G110000000004,GLOVER DRAKE AMY,Nueva (destino en $0)
10400400G120000000004,GOMEZ FORERO JAIME,Nueva (destino en $0)
10400400H000000000003,"FUNC. Y EMPL. ""H""",Nueva (destino en $0)
10400400H030000000004,HERRERA VARELA MA. DEL CARMEN,Nueva (destino en $0)
10400400H040000000004,HERNANDEZ HERNANDEZ ANDREA,Nueva (destino en $0)
10400400I000000000003,"FUNC. Y EMPL. ""I""",Nueva (destino en $0)
10400400L000000000003,"FUNC. Y EMPL. ""L""",Nueva (destino en $0)
10400400L010000000004,LINARES DE LA O. OMAR AUGUSTO,Nueva (destino en $0)
10400400L020000000004,LEMUS FLORES NORMA ELIZABETH,Nueva (destino en $0)
10400400L030000000004,LEYVA GONZALEZ PATRICIA,Nueva (destino en $0)
