sheet,cell,row,col,formula_a1,formula_r1c1,value_if_any
RESUMEN,D5,5,4,"=SUM(D6,D9,D11,D13)","=SUM(R[1]C,R[4]C,R[6]C,R[8]C)","=SUM(D6,D9,D11,D13)"
RESUMEN,E5,5,5,"=SUM(E6,E9,E11,E13)","=SUM(R[1]C,R[4]C,R[6]C,R[8]C)","=SUM(E6,E9,E11,E13)"
RESUMEN,F5,5,6,"=SUM(F6,F9,F11,F13)","=SUM(R[1]C,R[4]C,R[6]C,R[8]C)","=SUM(F6,F9,F11,F13)"
RESUMEN,G5,5,7,"=IF((IFERROR(D5/F5,0))=0,0,(IFERROR(D5/F5,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D5/F5,0))=0,0,(IFERROR(D5/F5,0)-1))"
RESUMEN,H5,5,8,"=IF((IFERROR(D5/E5,0))=0,0,(IFERROR(D5/E5,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D5/E5,0))=0,0,(IFERROR(D5/E5,0)-1))"
RESUMEN,D6,6,4,=D7+D8,=R[1]C+R[2]C,=D7+D8
RESUMEN,E6,6,5,=E7+E8,=R[1]C+R[2]C,=E7+E8
RESUMEN,F6,6,6,=F7+F8,=R[1]C+R[2]C,=F7+F8
RESUMEN,G6,6,7,"=IF((IFERROR(D6/F6,0))=0,0,(IFERROR(D6/F6,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D6/F6,0))=0,0,(IFERROR(D6/F6,0)-1))"
RESUMEN,H6,6,8,"=IF((IFERROR(D6/E6,0))=0,0,(IFERROR(D6/E6,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D6/E6,0))=0,0,(IFERROR(D6/E6,0)-1))"
RESUMEN,D7,7,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B7,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B7,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E7,7,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B7,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B7,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G7,7,7,"=IF((IFERROR(D7/F7,0))=0,0,(IFERROR(D7/F7,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D7/F7,0))=0,0,(IFERROR(D7/F7,0)-1))"
RESUMEN,H7,7,8,"=IF((IFERROR(D7/E7,0))=0,0,(IFERROR(D7/E7,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D7/E7,0))=0,0,(IFERROR(D7/E7,0)-1))"
RESUMEN,D8,8,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B8,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B8,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E8,8,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B8,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B8,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G8,8,7,"=IF((IFERROR(D8/F8,0))=0,0,(IFERROR(D8/F8,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D8/F8,0))=0,0,(IFERROR(D8/F8,0)-1))"
RESUMEN,H8,8,8,"=IF((IFERROR(D8/E8,0))=0,0,(IFERROR(D8/E8,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D8/E8,0))=0,0,(IFERROR(D8/E8,0)-1))"
RESUMEN,D9,9,4,=D10,=R[1]C,=D10
RESUMEN,E9,9,5,=E10,=R[1]C,=E10
RESUMEN,F9,9,6,=F10,=R[1]C,=F10
RESUMEN,G9,9,7,"=IF((IFERROR(D9/F9,0))=0,0,(IFERROR(D9/F9,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D9/F9,0))=0,0,(IFERROR(D9/F9,0)-1))"
RESUMEN,H9,9,8,"=IF((IFERROR(D9/E9,0))=0,0,(IFERROR(D9/E9,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D9/E9,0))=0,0,(IFERROR(D9/E9,0)-1))"
RESUMEN,D10,10,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B10,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B10,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E10,10,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B10,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B10,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G10,10,7,"=IF((IFERROR(D10/F10,0))=0,0,(IFERROR(D10/F10,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D10/F10,0))=0,0,(IFERROR(D10/F10,0)-1))"
RESUMEN,H10,10,8,"=IF((IFERROR(D10/E10,0))=0,0,(IFERROR(D10/E10,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D10/E10,0))=0,0,(IFERROR(D10/E10,0)-1))"
RESUMEN,D11,11,4,=D12,=R[1]C,=D12
RESUMEN,E11,11,5,=E12,=R[1]C,=E12
RESUMEN,F11,11,6,=F12,=R[1]C,=F12
RESUMEN,G11,11,7,"=IF((IFERROR(D11/F11,0))=0,0,(IFERROR(D11/F11,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D11/F11,0))=0,0,(IFERROR(D11/F11,0)-1))"
RESUMEN,H11,11,8,"=IF((IFERROR(D11/E11,0))=0,0,(IFERROR(D11/E11,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D11/E11,0))=0,0,(IFERROR(D11/E11,0)-1))"
RESUMEN,D12,12,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B12,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B12,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E12,12,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B12,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B12,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G12,12,7,"=IF((IFERROR(D12/F12,0))=0,0,(IFERROR(D12/F12,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D12/F12,0))=0,0,(IFERROR(D12/F12,0)-1))"
RESUMEN,H12,12,8,"=IF((IFERROR(D12/E12,0))=0,0,(IFERROR(D12/E12,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D12/E12,0))=0,0,(IFERROR(D12/E12,0)-1))"
RESUMEN,D13,13,4,=D14+D15,=R[1]C+R[2]C,=D14+D15
RESUMEN,E13,13,5,=E14+E15,=R[1]C+R[2]C,=E14+E15
RESUMEN,F13,13,6,=F14+F15,=R[1]C+R[2]C,=F14+F15
RESUMEN,G13,13,7,"=IF((IFERROR(D13/F13,0))=0,0,(IFERROR(D13/F13,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D13/F13,0))=0,0,(IFERROR(D13/F13,0)-1))"
RESUMEN,H13,13,8,"=IF((IFERROR(D13/E13,0))=0,0,(IFERROR(D13/E13,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D13/E13,0))=0,0,(IFERROR(D13/E13,0)-1))"
RESUMEN,D14,14,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B14,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B14,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E14,14,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B14,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B14,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G14,14,7,"=IF((IFERROR(D14/F14,0))=0,0,(IFERROR(D14/F14,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D14/F14,0))=0,0,(IFERROR(D14/F14,0)-1))"
RESUMEN,H14,14,8,"=IF((IFERROR(D14/E14,0))=0,0,(IFERROR(D14/E14,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D14/E14,0))=0,0,(IFERROR(D14/E14,0)-1))"
RESUMEN,D15,15,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E15,15,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B15,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G15,15,7,"=IF((IFERROR(D15/F15,0))=0,0,(IFERROR(D15/F15,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D15/F15,0))=0,0,(IFERROR(D15/F15,0)-1))"
RESUMEN,H15,15,8,"=IF((IFERROR(D15/E15,0))=0,0,(IFERROR(D15/E15,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D15/E15,0))=0,0,(IFERROR(D15/E15,0)-1))"
RESUMEN,D16,16,4,=D17+D20+D22+D24+D27+D30+D31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=D17+D20+D22+D24+D27+D30+D31
RESUMEN,E16,16,5,=E17+E20+E22+E24+E27+E30+E31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=E17+E20+E22+E24+E27+E30+E31
RESUMEN,F16,16,6,=F17+F20+F22+F24+F27+F30+F31,=R[1]C+R[4]C+R[6]C+R[8]C+R[11]C+R[14]C+R[15]C,=F17+F20+F22+F24+F27+F30+F31
RESUMEN,G16,16,7,"=IF((IFERROR(D16/F16,0))=0,0,(IFERROR(D16/F16,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D16/F16,0))=0,0,(IFERROR(D16/F16,0)-1))"
RESUMEN,H16,16,8,"=IF((IFERROR(D16/E16,0))=0,0,(IFERROR(D16/E16,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D16/E16,0))=0,0,(IFERROR(D16/E16,0)-1))"
