TABLA	CAMPO	TIPO_CODIGO	TIPO_DATO	LONGITUD	ESCALA	NULLABLE	POSICION	DESCRIPCION
ACTIVOS05	CLAVE	37	VARCHAR	16	0	SI	0	Clave
ACTIVOS05	TIPO	7	SMALLINT	2	0	NO	1	Tipo
ACTIVOS05	DESCRIP	37	VARCHAR	30	0	SI	2	Descripcion
ACTIVOS05	LOCALIZ	37	VARCHAR	9	0	NO	3	Localozacion
ACTIVOS05	MONTORIG	27	DOUBLE PRECISION	8	0	NO	4	Monto original
ACTIVOS05	MONTORIGEX	27	DOUBLE PRECISION	8	0	NO	5	Monto original extranjero
ACTIVOS05	FECHAADQ	35	TIMESTAMP	8	0	NO	6	Fecha de adquisicion
ACTIVOS05	MAXDED	27	DOUBLE PRECISION	8	0	NO	7	Maximo deducible
ACTIVOS05	VALMER	27	DOUBLE PRECISION	8	0	NO	8	Valor del mercado
ACTIVOS05	DEPACU	27	DOUBLE PRECISION	8	0	NO	9	Depreciacion acumulada
ACTIVOS05	VIDAUT	27	DOUBLE PRECISION	8	0	NO	10	Vida util
ACTIVOS05	METDEP	37	VARCHAR	1	0	NO	11	Metodo de depreciacion
ACTIVOS05	TASDEP	27	DOUBLE PRECISION	8	0	NO	12	Tasa de depreciacion
ACTIVOS05	TASDEPFIS	27	DOUBLE PRECISION	8	0	NO	13	Tasa de depreciacion fiscal
ACTIVOS05	STATUS	37	VARCHAR	1	0	NO	14	Estatus
ACTIVOS05	FECHAELIM	35	TIMESTAMP	8	0	NO	15	Fecha eliminacion
ACTIVOS05	NUMDEPTO	7	SMALLINT	2	0	NO	16	Numero de depto
ACTIVOS05	FECHAULTRE	35	TIMESTAMP	8	0	NO	17	Fecha ultima revaluacion
ACTIVOS05	NUMSERIE	37	VARCHAR	24	0	NO	18	Numero de serie
ACTIVOS05	BANDEDINM	37	VARCHAR	1	0	NO	19	Deduccion inmediata
ACTIVOS05	FECINIDEP	35	TIMESTAMP	8	0	NO	20	Fecha inicio depreciacion
ACTIVOS05	FECINIDEPF	35	TIMESTAMP	8	0	NO	21	Fecha depreciacion fiscal
ACTIVOS05	DEPACUFISC	27	DOUBLE PRECISION	8	0	NO	22	Depreciacion acumulada fiscal
ACTIVOS05	OBSERVACIO	37	VARCHAR	250	0	NO	23	Observaciones
ACTIVOS05	TIPOCAMBIO	27	DOUBLE PRECISION	8	0	NO	24	Tipo de cambio
ACTIVOS05	POLIZASEG	37	VARCHAR	20	0	NO	25	Poliza de seguro
ACTIVOS05	COMPASEGU	37	VARCHAR	40	0	NO	26	Compania asegurada
ACTIVOS05	AGENTESEG	37	VARCHAR	40	0	NO	27	Agente de seguro
ACTIVOS05	TELSINIES	37	VARCHAR	15	0	NO	28	Telefono sieniestro
ACTIVOS05	TIPOCOBER	37	VARCHAR	20	0	NO	29	 Tipo cobertura
ACTIVOS05	MONTOASEG	27	DOUBLE PRECISION	8	0	NO	30	Monto asegurado
ACTIVOS05	PRIMATOTA	27	DOUBLE PRECISION	8	0	NO	31	Prima total
ACTIVOS05	DEDUCIBLE	27	DOUBLE PRECISION	8	0	NO	32	Deducible
ACTIVOS05	FECVIGENC	35	TIMESTAMP	8	0	NO	33	Fecha vigencia
ACTIVOS05	FECPROXMA	35	TIMESTAMP	8	0	NO	34	Fecha proxima mantenimiento
ACTIVOS05	FECULTMAN	35	TIMESTAMP	8	0	NO	35	Fecha ultimo mantenimiento
ACTIVOS05	PERIODOMA	7	SMALLINT	2	0	NO	36	Periodo mantenimiento
ACTIVOS05	COSTOMANT	27	DOUBLE PRECISION	8	0	NO	37	Costo mantenimiento
ACTIVOS05	RESPACTFIJO	37	VARCHAR	60	0	NO	38	Responsable del activo fijo
ACTIVOS06	CLAVE	37	VARCHAR	16	0	SI	0	Clave
ACTIVOS06	TIPO	7	SMALLINT	2	0	NO	1	Tipo
ACTIVOS06	DESCRIP	37	VARCHAR	30	0	SI	2	Descripcion
ACTIVOS06	LOCALIZ	37	VARCHAR	9	0	NO	3	Localozacion
ACTIVOS06	MONTORIG	27	DOUBLE PRECISION	8	0	NO	4	Monto original
ACTIVOS06	MONTORIGEX	27	DOUBLE PRECISION	8	0	NO	5	Monto original extranjero
ACTIVOS06	FECHAADQ	35	TIMESTAMP	8	0	NO	6	Fecha de adquisicion
ACTIVOS06	MAXDED	27	DOUBLE PRECISION	8	0	NO	7	Maximo deducible
ACTIVOS06	VALMER	27	DOUBLE PRECISION	8	0	NO	8	Valor del mercado
ACTIVOS06	DEPACU	27	DOUBLE PRECISION	8	0	NO	9	Depreciacion acumulada
ACTIVOS06	VIDAUT	27	DOUBLE PRECISION	8	0	NO	10	Vida util
ACTIVOS06	METDEP	37	VARCHAR	1	0	NO	11	Metodo de depreciacion
ACTIVOS06	TASDEP	27	DOUBLE PRECISION	8	0	NO	12	Tasa de depreciacion
ACTIVOS06	TASDEPFIS	27	DOUBLE PRECISION	8	0	NO	13	Tasa de depreciacion fiscal
ACTIVOS06	STATUS	37	VARCHAR	1	0	NO	14	Estatus
ACTIVOS06	FECHAELIM	35	TIMESTAMP	8	0	NO	15	Fecha eliminacion
ACTIVOS06	NUMDEPTO	7	SMALLINT	2	0	NO	16	Numero de depto
ACTIVOS06	FECHAULTRE	35	TIMESTAMP	8	0	NO	17	Fecha ultima revaluacion
ACTIVOS06	NUMSERIE	37	VARCHAR	24	0	NO	18	Numero de serie
ACTIVOS06	BANDEDINM	37	VARCHAR	1	0	NO	19	Deduccion inmediata
ACTIVOS06	FECINIDEP	35	TIMESTAMP	8	0	NO	20	Fecha inicio depreciacion
ACTIVOS06	FECINIDEPF	35	TIMESTAMP	8	0	NO	21	Fecha depreciacion fiscal
ACTIVOS06	DEPACUFISC	27	DOUBLE PRECISION	8	0	NO	22	Depreciacion acumulada fiscal
ACTIVOS06	OBSERVACIO	37	VARCHAR	250	0	NO	23	Observaciones
ACTIVOS06	TIPOCAMBIO	27	DOUBLE PRECISION	8	0	NO	24	Tipo de cambio
ACTIVOS06	POLIZASEG	37	VARCHAR	20	0	NO	25	Poliza de seguro
ACTIVOS06	COMPASEGU	37	VARCHAR	40	0	NO	26	Compania asegurada
ACTIVOS06	AGENTESEG	37	VARCHAR	40	0	NO	27	Agente de seguro
ACTIVOS06	TELSINIES	37	VARCHAR	15	0	NO	28	Telefono sieniestro
ACTIVOS06	TIPOCOBER	37	VARCHAR	20	0	NO	29	 Tipo cobertura
