TABLA	CAMPO	TIPO_CODIGO	TIPO_DATO	LONGITUD	ESCALA	NULLABLE	POSICION	DESCRIPCION
ACTIVOS17	CLAVE	37	VARCHAR	16	0	SI	0	Clave
ACTIVOS17	TIPO	7	SMALLINT	2	0	NO	1	Tipo
ACTIVOS17	DESCRIP	37	VARCHAR	30	0	SI	2	Descripcion
ACTIVOS17	LOCALIZ	37	VARCHAR	9	0	NO	3	Localozacion
ACTIVOS17	MONTORIG	27	DOUBLE PRECISION	8	0	NO	4	Monto original
ACTIVOS17	MONTORIGEX	27	DOUBLE PRECISION	8	0	NO	5	Monto original extranjero
ACTIVOS17	FECHAADQ	35	TIMESTAMP	8	0	NO	6	Fecha de adquisicion
ACTIVOS17	MAXDED	27	DOUBLE PRECISION	8	0	NO	7	Maximo deducible
ACTIVOS17	VALMER	27	DOUBLE PRECISION	8	0	NO	8	Valor del mercado
ACTIVOS17	DEPACU	27	DOUBLE PRECISION	8	0	NO	9	Depreciacion acumulada
ACTIVOS17	VIDAUT	27	DOUBLE PRECISION	8	0	NO	10	Vida util
ACTIVOS17	METDEP	37	VARCHAR	1	0	NO	11	Metodo de depreciacion
ACTIVOS17	TASDEP	27	DOUBLE PRECISION	8	0	NO	12	Tasa de depreciacion
ACTIVOS17	TASDEPFIS	27	DOUBLE PRECISION	8	0	NO	13	Tasa de depreciacion fiscal
ACTIVOS17	STATUS	37	VARCHAR	1	0	NO	14	Estatus
ACTIVOS17	FECHAELIM	35	TIMESTAMP	8	0	NO	15	Fecha eliminacion
ACTIVOS17	NUMDEPTO	7	SMALLINT	2	0	NO	16	Numero de depto
ACTIVOS17	FECHAULTRE	35	TIMESTAMP	8	0	NO	17	Fecha ultima revaluacion
ACTIVOS17	NUMSERIE	37	VARCHAR	24	0	NO	18	Numero de serie
ACTIVOS17	BANDEDINM	37	VARCHAR	1	0	NO	19	Deduccion inmediata
ACTIVOS17	FECINIDEP	35	TIMESTAMP	8	0	NO	20	Fecha inicio depreciacion
ACTIVOS17	FECINIDEPF	35	TIMESTAMP	8	0	NO	21	Fecha depreciacion fiscal
ACTIVOS17	DEPACUFISC	27	DOUBLE PRECISION	8	0	NO	22	Depreciacion acumulada fiscal
ACTIVOS17	OBSERVACIO	37	VARCHAR	250	0	NO	23	Observaciones
ACTIVOS17	TIPOCAMBIO	27	DOUBLE PRECISION	8	0	NO	24	Tipo de cambio
