CUENTA,DESCRIPCION,GRUPO
400-000-000-00,Cuotas Netas,Membership (INCOME)
401-000-000-00,Ingresos socios nuevos,Membership (INCOME)
405-000-000-00,Eventos,Events (INCOME)
406-000-000-00,Patrocinios,Events (INCOME)
404-000-000-00,Comités,Commitees (INCOME)
407-000-000-00,Trade & Investment Center,T&IC (INCOME)
403-000-000-00,Venta Publicaciones,Services to Members (INCOME)
408-000-000-00,Visas,Services to Members (INCOME)
702-000-000-00,Gastos Promoción,Membership (EXPENSE)
503-000-000-00,Comisiones por venta de membresías,Membership (EXPENSE)
701-000-000-00,Costo Eventos,Events (EXPENSE)
502-000-000-00,Costo comités,Commitees (EXPENSE)
504-000-000-00,Comisiones EWDP,Commitees (EXPENSE)
703-000-000-00,Costo Trade & Investment Center,T&IC (EXPENSE)
601-000-000-00,Gastos Venta Publicaciones,Services to Members (EXPENSE)
801-000-000-00,Gasto de Administración,Gastos G&A (EXPENSE)
901-000-000-00,Gastos Generales,Gastos G&A (EXPENSE)
501-000-000-00,Nómina,Nómina (EXPENSE)
903-000-000-00,Gastos Corporativos,Gastos Corporativos (EXPENSE)
903-016-000-00,Cargos Administrativos,Cargos Administrativos (EXPENSE)
904-000-000-00,Member Centricity,Member Centricity (OPERATING RESULTS)
402-000-000-00,Otros ingresos,Other (OPERATING RESULTS)
410-000-000-00,Utilidad cambiaria,Other (OPERATING RESULTS)
